No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,
187,2013,3,8,18,85,90,41,53,1000,93,9.2,1002.4,-1,0,1.3,MEDIUM
188,2013,3,8,19,88,92,38,68,1200,93,8.4,1002.4,-2.3,0,1.9,MEDIUM
189,2013,3,8,20,90,61,37,57,1000,93,7.2,1002.2,-3.7,0,3,MEDIUM
190,2013,3,8,21,59,65,35,66,1200,93,6,1002,-4.5,0,1.9,MEDIUM
191,2013,3,8,22,63,71,52,71,1700,93,5.9,1001.1,-5.1,0,1,MEDIUM
192,2013,3,8,23,82,54,60,67,1700,93,5.3,999.2,-5.1,0,0.4,MEDIUM
193,2013,3,9,0,51,53,72,63,2000,93,4.4,997.9,-4.9,0,0,MEDIUM
194,2013,3,9,1,61,84,84,83,2600,93,3,996.9,-4.2,0,0.1,MEDIUM
195,2013,3,9,2,72,91,87,88,2700,93,2.6,995.9,-3.7,0,1.2,MEDIUM
196,2013,3,9,3,77,102,83,80,2899,93,2.3,994.7,-4.2,0,0.9,MEDIUM
197,2013,3,9,4,81,104,79,103,3100,93,1.7,993.7,-4,0,0,MEDIUM
198,2013,3,9,5,84,111,80,104,3600,93,2.4,993.9,-3.9,0,1.7,MEDIUM
199,2013,3,9,6,114,117,77,106,3799,93,4,994.1,-3.5,0,1.4,HIGH
200,2013,3,9,7,106,107,72,109,2500,93,5,994.7,-2.8,0,1.7,MEDIUM
201,2013,3,9,8,108,117,78,103,2200,93,7,996,-3.3,0,0.4,MEDIUM
202,2013,3,9,9,114,140,88,100,2100,93,14.3,997.3,-1.8,0,5.3,HIGH
203,2013,3,9,10,130,227,86,90,2000,93,17.3,999.6,-5.9,0,7.5,HIGH
204,2013,3,9,11,62,325,29,28,600,93,13.8,1002.9,-10.9,0,6.1,MEDIUM
205,2013,3,9,12,62,740,3,14,300,93,11.7,1005.8,-16.8,0,9.2,MEDIUM
206,2013,3,9,13,45,558,3,12,300,93,9.9,1008.5,-19.3,0,6.4,MEDIUM
207,2013,3,9,14,47,710,3,12,300,94,9.5,1009.8,-19.6,0,7.1,MEDIUM
208,2013,3,9,15,36,811,3,12,300,94,9.7,1011.1,-19.4,0,4.7,MEDIUM
209,2013,3,9,16,15,281,3,13,300,94,10,1012.8,-20.3,0,6.2,LOW
210,2013,3,9,17,15,175,3,13,300,94,8.9,1014.7,-20.1,0,6.5,LOW
211,2013,3,9,18,12,100,3,12,300,94,7.9,1017.5,-20.8,0,5.2,LOW
212,2013,3,9,19,12,84,3,15,300,94,6.9,1019.2,-20.6,0,7.1,LOW
213,2013,3,9,20,14,79,3,18,300,94,6.1,1021,-20.3,0,8.8,LOW
214,2013,3,9,21,12,77,3,19,300,94,5.6,1022.6,-19.9,0,4.5,LOW
215,2013,3,9,22,14,32,3,18,300,94,5.3,1023.1,-20.1,0,2.4,LOW
216,2013,3,9,23,9,10,3,15,300,94,4.3,1023.4,-20.1,0,1.6,LOW
217,2013,3,10,0,3,7,3,21,400,94,2.1,1022.9,-17.5,0,1.6,LOW
218,2013,3,10,1,3,7,6,31,400,94,0.2,1023.2,-16.6,0,0.5,LOW
219,2013,3,10,2,14,15,6,41,600,94,-1.6,1023.1,-15.8,0,0,LOW
220,2013,3,10,3,16,32,8,53,NA,94,-0.9,1023.3,-15.9,0,0,LOW
221,2013,3,10,4,6,21,8,54,800,94,-1.9,1024,-14.7,0,0,LOW
222,2013,3,10,5,26,37,11,87,900,94,-2.8,1024.1,-13.4,0,0,MEDIUM
223,2013,3,10,6,23,41,19,89,1000,94,-2.1,1024.4,-13.3,0,0.1,MEDIUM
224,2013,3,10,7,25,31,20,91,1300,94,3.7,1025.4,-15.6,0,3,MEDIUM
225,2013,3,10,8,29,35,25,80,1000,94,5.7,1025.5,-16.8,0,2.8,MEDIUM
226,2013,3,10,9,26,33,30,57,800,94,6.8,1025,-17.3,0,5.2,MEDIUM
227,2013,3,10,10,27,40,24,48,800,94,8.7,1024.3,-17.4,0,3.1,MEDIUM
228,2013,3,10,11,36,54,20,37,800,94,9.9,1023.7,-17.3,0,2.4,MEDIUM
229,2013,3,10,12,36,44,21,36,700,94,11.3,1022.8,-17.2,0,1.3,MEDIUM
230,2013,3,10,13,32,34,18,30,600,94,11.2,1021.7,-17.2,0,3.8,MEDIUM
231,2013,3,10,14,32,35,18,32,600,94,11.4,1020.8,-16.1,0,3.9,MEDIUM
232,2013,3,10,15,32,46,17,31,500,95,11.3,1020.4,-16.2,0,3.9,MEDIUM
233,2013,3,10,16,38,55,18,31,500,95,10.8,1020.2,-14.9,0,4.6,MEDIUM
234,2013,3,10,17,41,64,20,37,500,95,9.6,1020.2,-14.3,0,3,MEDIUM
235,2013,3,10,18,52,80,22,44,600,95,8.9,1020.6,-13.5,0,3.7,MEDIUM
236,2013,3,10,19,60,84,26,58,800,95,8.3,1020.9,-12.8,0,3.2,MEDIUM
237,2013,3,10,20,74,101,33,80,900,95,7.6,1021.1,-12.3,0,2.4,MEDIUM
238,2013,3,10,21,73,99,32,82,900,95,7.2,1021.2,-12.1,0,2.8,MEDIUM
239,2013,3,10,22,78,108,42,88,1100,95,6.8,1020.6,-11.9,0,2.3,MEDIUM
240,2013,3,10,23,79,106,47,84,1000,95,6.7,1020.7,-12.5,0,2.4,MEDIUM
241,2013,3,11,0,79,104,58,68,900,95,5.3,1020.5,-11.3,0,0.9,MEDIUM
242,2013,3,11,1,91,119,88,70,1000,95,4.5,1020.1,-11.2,0,0.8,MEDIUM
243,2013,3,11,2,94,114,89,73,1000,95,3.6,1019.3,-10.5,0,0.4,MEDIUM
244,2013,3,11,3,101,120,95,82,1100,95,2.4,1019,-9.9,0,0.4,MEDIUM
245,2013,3,11,4,99,106,83,85,1100,95,0.2,1018.9,-9,0,1.6,MEDIUM
246,2013,3,11,5,93,98,81,68,900,95,1.5,1018.9,-8.9,0,0.1,MEDIUM
247,2013,3,11,6,88,100,62,81,1100,95,-0.2,1019.1,-8.2,0,0.8,MEDIUM
248,2013,3,11,7,87,89,54,88,1100,95,2.1,1019.2,-7.8,0,0.8,MEDIUM
249,2013,3,11,8,94,102,72,90,1300,95,5,1019.1,-8.2,0,0.8,MEDIUM
250,2013,3,11,9,104,114,80,90,1399,95,6,1018.6,-8.7,0,2.3,MEDIUM
251,2013,3,11,10,116,131,100,96,1700,95,7.5,1017.8,-8.6,0,2.2,HIGH
252,2013,3,11,11,131,153,113,105,2000,95,9.1,1016.5,-9.4,0,2,HIGH
253,2013,3,11,12,148,157,125,108,1899,95,10.5,1015.2,-9.3,0,1.9,HIGH
254,2013,3,11,13,134,140,116,91,1500,95,11.6,1013.8,-7.8,0,3.1,HIGH
255,2013,3,11,14,105,130,97,63,1100,95,11.8,1012.8,-7.6,0,3.7,MEDIUM
256,2013,3,11,15,108,118,104,65,1100,93,11.6,1012.1,-7.8,0,3.4,MEDIUM
257,2013,3,11,16,110,140,115,84,1399,86,11,1011.3,-6.4,0,2.7,MEDIUM
258,2013,3,11,17,130,184,156,99,2000,86,10.6,1011.6,-4.6,0,2.2,HIGH
259,2013,3,11,18,137,204,86,92,1500,74,10.4,1011.9,-4.1,0,1.3,HIGH
260,2013,3,11,19,145,185,74,95,1399,65,10.4,1012.2,-3.3,0,0.8,HIGH
261,2013,3,11,20,154,197,74,110,1600,65,10.2,1012.4,-5,0,1.1,HIGH
262,2013,3,11,21,151,169,65,104,1500,65,9.6,1011.8,-5.1,0,0.8,HIGH
263,2013,3,11,22,115,121,46,90,1200,65,9.2,1011.5,-5.5,0,1.5,HIGH
264,2013,3,11,23,99,122,39,91,1300,65,8.5,1010.4,-5.4,0,0.9,MEDIUM
265,2013,3,12,0,109,124,54,101,1399,65,7.8,1009.7,-5.3,0,1.3,MEDIUM
266,2013,3,12,1,122,148,66,101,2000,65,7.6,1008.8,-4.8,0,1.1,HIGH
267,2013,3,12,2,123,133,70,96,1899,65,6.7,1007.9,-3.8,0,0.8,HIGH
268,2013,3,12,3,123,134,73,96,1899,65,7.2,1008,-2.8,0,1.5,HIGH
269,2013,3,12,4,128,146,79,95,2100,65,5.6,1008.6,-0.1,0.5,0.2,HIGH
270,2013,3,12,5,125,186,55,91,2200,65,4.5,1008.3,0.8,0.3,1.7,HIGH
271,2013,3,12,6,134,135,20,92,2299,65,3.8,1008.5,2,1,0,HIGH
272,2013,3,12,7,107,114,20,91,2200,65,3,1008.8,1.5,2.6,0.9,MEDIUM
273,2013,3,12,8,116,114,17,85,1800,65,3.4,1008.8,2.2,0.3,1.7,HIGH
274,2013,3,12,9,114,87,17,86,1700,65,3.5,1008.6,2.3,0.1,1.3,HIGH
275,2013,3,12,10,101,102,23,92,2100,65,3.7,1008.9,2.5,0.2,0.9,MEDIUM
276,2013,3,12,11,122,125,24,94,2200,65,4,1008.7,2.7,0.1,1.6,HIGH
277,2013,3,12,12,125,125,25,93,2200,65,4.6,1008.2,2.8,0.1,1.3,HIGH
278,2013,3,12,13,148,126,36,90,2000,65,4.9,1008.8,3.2,0,1.5,HIGH
279,2013,3,12,14,137,94,34,83,1600,64,5.2,1009.1,3.4,0,2.1,HIGH
280,2013,3,12,15,123,85,33,77,1500,45,5.6,1009.3,3.8,0,1.5,HIGH
281,2013,3,12,16,108,109,30,82,1700,39,6.5,1009.7,3.8,0.1,0,MEDIUM
282,2013,3,12,17,134,109,43,85,1700,39,6.4,1011.3,3.5,0,0.8,HIGH
283,2013,3,12,18,140,115,41,92,1899,34,5.3,1012.7,3.5,0,1.4,HIGH
284,2013,3,12,19,142,108,38,96,2000,18,4.6,1014.3,3.4,0,0.6,HIGH
285,2013,3,12,20,130,137,30,96,2700,17,4.6,1016.3,3.4,0,0.8,HIGH
286,2013,3,12,21,166,138,31,94,2799,17,4.6,1017.6,3.6,0,1.9,HIGH
287,2013,3,12,22,163,137,28,94,2399,14,4.1,1018.7,1.6,0,0.9,HIGH
