No,year,month,day,hour,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
43,2013,3,2,18,1100,24,1.2,1023.2,-12.3,0,W,0.9,Aotizhongxin
44,2013,3,2,19,1300,10,1.5,1022.9,-13.8,0,NE,1.2,Aotizhongxin
45,2013,3,2,20,1399,2,1.2,1022.9,-14.1,0,NNE,1.2,Aotizhongxin
46,2013,3,2,21,1399,2,0.6,1022.6,-14.2,0,NE,1.3,Aotizhongxin
47,2013,3,2,22,1500,3,-0.6,1022.3,-13.9,0,NNE,1.4,Aotizhongxin
48,2013,3,2,23,1700,2,-0.8,1021.1,-13.4,0,N,1.3,Aotizhongxin
49,2013,3,3,0,1899,2,-1.4,1020.4,-13,0,NNE,1.2,Aotizhongxin
50,2013,3,3,1,2200,2,-2,1019.4,-13.2,0,NE,1.2,Aotizhongxin
51,2013,3,3,2,2399,2,-2.8,1018.3,-12.3,0,NE,1.4,Aotizhongxin
52,2013,3,3,3,2500,2,-2.6,1017.2,-13.2,0,NE,1.2,Aotizhongxin
53,2013,3,3,4,2799,2,-4.3,1016.9,-11.8,0,NNE,0.9,Aotizhongxin
54,2013,3,3,5,2399,2,-5.6,1016.3,-10.9,0,N,0.8,Aotizhongxin
55,2013,3,3,6,2100,2,-5.8,1016.2,-11,0,NNE,0.8,Aotizhongxin
56,2013,3,3,7,2000,2,-3.1,1016.5,-11.1,0,NE,1.5,Aotizhongxin
57,2013,3,3,8,2299,2,0.7,1016.2,-13,0,NNE,2.3,Aotizhongxin
58,2013,3,3,9,2600,3,3.5,1015.8,-13.8,0,NNE,0.4,Aotizhongxin
59,2013,3,3,10,1800,9,6.5,1014.9,-13.2,0,N,1.3,Aotizhongxin
60,2013,3,3,11,1600,14,11.4,1013.8,-10.8,0,ESE,0.9,Aotizhongxin
61,2013,3,3,12,1600,14,13.8,1012.5,-13.3,0,W,1.1,Aotizhongxin
62,2013,3,3,13,1200,33,16,1011.5,-13.5,0,W,5.9,Aotizhongxin
63,2013,3,3,14,900,51,16.7,1010.8,-14,0,WNW,4.3,Aotizhongxin
64,2013,3,3,15,500,77,16.9,1010.5,-12.7,0,WNW,2,Aotizhongxin
65,2013,3,3,16,400,77,16.4,1010.6,-15.4,0,NW,2.9,Aotizhongxin
66,2013,3,3,17,400,73,13.1,1011.1,-10.1,0,WSW,1.7,Aotizhongxin
67,2013,3,3,18,500,66,8.7,1012.3,-11.3,0,NW,1.6,Aotizhongxin
68,2013,3,3,19,1300,11,12.2,1013.4,-13.7,0,NNW,2,Aotizhongxin
69,2013,3,3,20,2000,4,11.7,1013.5,-12.6,0,N,0.9,Aotizhongxin
70,2013,3,3,21,1100,5,5.3,1013.6,-10.9,0,N,0,Aotizhongxin
71,2013,3,3,22,1200,2,3.1,1014.1,-10.2,0,NNE,1.8,Aotizhongxin
72,2013,3,3,23,1200,2,5.2,1014.8,-10.6,0,NNW,1.7,Aotizhongxin
73,2013,3,4,0,1300,4,7.7,1015.7,-11.1,0,N,2.6,Aotizhongxin
74,2013,3,4,1,1000,25,8.2,1016.7,-11.7,0,N,2.8,Aotizhongxin
75,2013,3,4,2,300,68,8.1,1016.7,-11.8,0,N,4.3,Aotizhongxin
76,2013,3,4,3,433.3333333,77,7.2,1016.9,-11.6,0,N,2.8,Aotizhongxin
77,2013,3,4,4,400,42,6,1018,-11.6,0,NNW,1,Aotizhongxin
78,2013,3,4,5,400,40,2.7,1018.6,-10.9,0,SSE,0.5,Aotizhongxin
79,2013,3,4,6,500,22,3.8,1018.9,-11.4,0,N,2.3,Aotizhongxin
80,2013,3,4,7,600,17,6.5,1019.7,-10.7,0,N,2.3,Aotizhongxin
81,2013,3,4,8,700,21,9,1020.7,-12.2,0,NE,3.1,Aotizhongxin
82,2013,3,4,9,500,52,10.6,1020.8,-12.1,0,NNE,1.3,Aotizhongxin
83,2013,3,4,10,600,57,11.9,1020.4,-12.4,0,NE,2.1,Aotizhongxin
84,2013,3,4,11,400,68,13.1,1020,-13,0,NE,3,Aotizhongxin
85,2013,3,4,12,400,77,14.2,1018.9,-13.9,0,N,2.7,Aotizhongxin
86,2013,3,4,13,300,82,15.3,1017.8,-13,0,S,2,Aotizhongxin
87,2013,3,4,14,400,84,15.2,1017,-13.1,0,SW,0.7,Aotizhongxin
88,2013,3,4,15,400,84,15.3,1016.3,-13,0,SSW,2.4,Aotizhongxin
89,2013,3,4,16,500,70,14.5,1015.7,-13.7,0,S,2.6,Aotizhongxin
90,2013,3,4,17,500,78,12.7,1015.9,-11.8,0,SW,2.6,Aotizhongxin
91,2013,3,4,18,600,75,11.6,1016.5,-11.3,0,SSW,3.4,Aotizhongxin
92,2013,3,4,19,700,53,10.9,1016.6,-10.6,0,SW,3.5,Aotizhongxin
93,2013,3,4,20,800,40,9.9,1016.9,-10.3,0,SSW,3.1,Aotizhongxin
94,2013,3,4,21,800,39,8.4,1016.9,-10,0,SSW,2.1,Aotizhongxin
95,2013,3,4,22,1000,31,8.6,1016.3,-9.9,0,SSW,2.4,Aotizhongxin
96,2013,3,4,23,1100,84,7.7,1015.7,-9.3,0,SW,2.1,Aotizhongxin
97,2013,3,5,0,1100,84,4.7,1015.2,-9.1,0,SW,1.6,Aotizhongxin
98,2013,3,5,1,1200,84,1.1,1014.7,-7.9,0,SW,0,Aotizhongxin
99,2013,3,5,2,1200,84,-0.6,1014.4,-8.1,0,S,0,Aotizhongxin
100,2013,3,5,3,1399,84,0.2,1014,-8.8,0,NE,1.2,Aotizhongxin
101,2013,3,5,4,2299,84,1.8,1013.7,-9.5,0,NE,1.5,Aotizhongxin
102,2013,3,5,5,2399,84,0.6,1013.9,-9.4,0,N,0.8,Aotizhongxin
103,2013,3,5,6,2200,84,-0.2,1013.4,-8.6,0,NE,1.3,Aotizhongxin
104,2013,3,5,7,2299,84,2.9,1013.4,-9.1,0,NNE,1.3,Aotizhongxin
105,2013,3,5,8,2399,84,5.1,1013.4,-9.1,0,NNE,1.2,Aotizhongxin
106,2013,3,5,9,2899,84,7.7,1012.8,-8.4,0,NNE,1.5,Aotizhongxin
107,2013,3,5,10,2700,84,9.4,1012,-8.2,0,NE,1.5,Aotizhongxin
108,2013,3,5,11,2299,84,10.6,1011.1,-8.1,0,NNE,1.4,Aotizhongxin
109,2013,3,5,12,2299,15,11.9,1009.7,-7.5,0,NNW,1.3,Aotizhongxin
110,2013,3,5,13,2200,84,12.6,1008.5,-8,0,N,1,Aotizhongxin
111,2013,3,5,14,2100,84,13.5,1007.7,-7.8,0,NNE,1.4,Aotizhongxin
112,2013,3,5,15,2200,78,13.8,1007.2,-7.6,0,NE,1.2,Aotizhongxin
113,2013,3,5,16,2700,78,13.2,1007.1,-7,0,NE,2,Aotizhongxin
114,2013,3,5,17,2799,75,12.1,1007.7,-6.4,0,NNE,1.6,Aotizhongxin
115,2013,3,5,18,2500,53,9,1008.2,-5.7,0,NE,1.4,Aotizhongxin
116,2013,3,5,19,2200,40,5.3,1008.5,-4.8,0,ESE,0,Aotizhongxin
117,2013,3,5,20,2500,39,3.3,1008.7,-4.7,0,N,0.2,Aotizhongxin
118,2013,3,5,21,3100,31,2.9,1009,-4.6,0,NNE,1.2,Aotizhongxin
119,2013,3,5,22,3200,29,5.2,1008.9,-6.1,0,NE,1.1,Aotizhongxin
120,2013,3,5,23,4400,29,4.9,1008.4,-6.1,0,NE,1.4,Aotizhongxin
121,2013,3,6,0,4000,28,4.9,1008.5,-6.4,0,NE,1.2,Aotizhongxin
122,2013,3,6,1,4000,22,4.8,1008.3,-5.9,0,NE,1.5,Aotizhongxin
123,2013,3,6,2,3200,22,4.1,1007.8,-5.9,0,NE,1.9,Aotizhongxin
124,2013,3,6,3,2600,22,4,1007.6,-6.3,0,NE,1.9,Aotizhongxin
125,2013,3,6,4,2600,22,3.9,1007.3,-6.1,0,NE,1.4,Aotizhongxin
126,2013,3,6,5,2500,22,4.1,1007.8,-5.7,0,NE,1.6,Aotizhongxin
127,2013,3,6,6,2600,22,4.5,1008.4,-5.3,0,NE,2,Aotizhongxin
128,2013,3,6,7,2700,22,5.7,1009.3,-5,0,NE,1.7,Aotizhongxin
129,2013,3,6,8,2500,22,6.6,1009.3,-4.8,0,NE,1.7,Aotizhongxin
130,2013,3,6,9,2399,22,7.5,1009.1,-4.6,0,NE,1.7,Aotizhongxin
131,2013,3,6,10,2600,22,8.7,1008.6,-4.5,0,NE,1.5,Aotizhongxin
132,2013,3,6,11,2399,22,10.1,1007.7,-4.7,0,NE,1.4,Aotizhongxin
133,2013,3,6,12,2299,22,11.1,1006.9,-4.2,0,ENE,0.4,Aotizhongxin
134,2013,3,6,13,2700,22,12.6,1005.8,-3.7,0,WSW,1.5,Aotizhongxin
135,2013,3,6,14,2799,14,14.5,1005.5,-3.3,0,SSE,1.6,Aotizhongxin
136,2013,3,6,15,2899,10,14.7,1005.5,-3.2,0,SSW,2.5,Aotizhongxin
137,2013,3,6,16,2799,17,14.2,1005.5,-3.2,0,S,1.4,Aotizhongxin
138,2013,3,6,17,3200,17,11.6,1005.9,-3.4,0,SSW,1.1,Aotizhongxin
139,2013,3,6,18,3500,17,6.8,1006.8,-2.9,0,WSW,0.9,Aotizhongxin
140,2013,3,6,19,3700,17,5.1,1007.6,-2.5,0,WSW,1.2,Aotizhongxin
141,2013,3,6,20,4200,17,4.4,1008.2,-2.5,0,SSW,1.1,Aotizhongxin
142,2013,3,6,21,3799,17,3.8,1007.7,-2.2,0,WSW,1.9,Aotizhongxin
143,2013,3,6,22,4099,17,2.4,1007.3,-2.5,0,WSW,1.2,Aotizhongxin
144,2013,3,6,23,4000,17,2.3,1007.2,-2.4,0,NNE,1.3,Aotizhongxin
145,2013,3,7,0,4000,17,1.5,1007.1,-2.6,0,NNE,0.8,Aotizhongxin
146,2013,3,7,1,4000,17,0.7,1007.1,-2.7,0,SE,1.2,Aotizhongxin
147,2013,3,7,2,4000,17,1.5,1006.9,-2.5,0,NNE,0.6,Aotizhongxin
148,2013,3,7,3,4099,17,0.3,1006.5,-2.7,0,WNW,1.7,Aotizhongxin
149,2013,3,7,4,5000,17,-0.9,1006.4,-3.3,0,N,0.5,Aotizhongxin
150,2013,3,7,5,5599,17,1.6,1006.7,-1.5,0,NNE,1.7,Aotizhongxin
151,2013,3,7,6,5700,17,0.3,1006.6,-2.7,0,SW,0.4,Aotizhongxin
152,2013,3,7,7,4599,17,2.4,1006.8,-1.4,0,NNE,1.5,Aotizhongxin
153,2013,3,7,8,3700,17,8.3,1006.5,-1,0,NNE,0.8,Aotizhongxin
154,2013,3,7,9,3299,17,10.1,1006.1,-0.7,0,W,0.6,Aotizhongxin
155,2013,3,7,10,3200,17,12.7,1005.5,-1.6,0,ENE,1.2,Aotizhongxin
156,2013,3,7,11,4000,17,16.5,1003.6,-1.6,0,WSW,1.7,Aotizhongxin
157,2013,3,7,12,4000,17,17.1,1001.6,-3.1,0,SSW,3.7,Aotizhongxin
158,2013,3,7,13,3700,17,17.7,1000.2,-3.2,0,SW,3.1,Aotizhongxin
159,2013,3,7,14,2899,39,18.3,998.6,-3.2,0,SSW,3.6,Aotizhongxin
160,2013,3,7,15,2399,61,18.6,997.6,-1.8,0,SSW,3.3,Aotizhongxin
161,2013,3,7,16,1899,80,17.9,997.2,-0.9,0,SW,1.9,Aotizhongxin
162,2013,3,7,17,1600,84,15.4,997.1,-1.7,0,NNW,1.4,Aotizhongxin
163,2013,3,7,18,1899,84,14.4,997.4,-2.5,0,N,1.9,Aotizhongxin
164,2013,3,7,19,2399,10,13.4,997.9,-2.6,0,NNE,1.5,Aotizhongxin
165,2013,3,7,20,3399,84,11.8,997.7,-2.1,0,NE,1.5,Aotizhongxin
166,2013,3,7,21,4000,84,9.2,997.9,-1.3,0,NNE,1.4,Aotizhongxin
167,2013,3,7,22,4000,84,7.5,998.3,-1.2,0,NE,1.3,Aotizhongxin
168,2013,3,7,23,3799,84,6.6,998.4,-0.9,0,E,0.1,Aotizhongxin
169,2013,3,8,0,3799,84,4.1,998.2,-1.3,0,ESE,0,Aotizhongxin
170,2013,3,8,1,4099,84,3.3,998.5,-1.7,0,N,0.9,Aotizhongxin
171,2013,3,8,2,3899,84,2.5,998.2,-1.9,0,SW,0.8,Aotizhongxin
172,2013,3,8,3,3765.666667,84,1.8,997.9,-1.8,0,N,0,Aotizhongxin
173,2013,3,8,4,3299,84,1.3,998.5,-1.8,0,W,1,Aotizhongxin
174,2013,3,8,5,3200,84,1.4,999,-1.5,0,SW,0.8,Aotizhongxin
175,2013,3,8,6,3299,84,1.1,999.7,-1.8,0,WSW,0.8,Aotizhongxin
176,2013,3,8,7,4099,84,5.7,1000.4,0.5,0,NNE,1,Aotizhongxin
177,2013,3,8,8,4900,84,10.9,1000.8,1.4,0,SE,0.7,Aotizhongxin
178,2013,3,8,9,5200,84,16.9,1001.1,-0.4,0,E,1,Aotizhongxin
179,2013,3,8,10,3166.666667,84,19.1,1000.9,-0.4,0,SSW,1.9,Aotizhongxin
180,2013,3,8,11,3100,84,20.5,1000.5,-3.3,0,SSW,4.4,Aotizhongxin
181,2013,3,8,12,1399,84,21.7,999.4,-2.3,0,S,3,Aotizhongxin
182,2013,3,8,13,1300,84,22.5,998.2,-2.3,0,S,3.3,Aotizhongxin
183,2013,3,8,14,1800,84,17.4,998.3,1.4,0,ESE,4.5,Aotizhongxin
184,2013,3,8,15,3600,84,13.9,999.5,1.2,0,ESE,2.7,Aotizhongxin
185,2013,3,8,16,1700,84,11.9,1000.2,0,0,ESE,2.6,Aotizhongxin
186,2013,3,8,17,1100,68,10.3,999.9,-0.5,0,SE,2.8,Aotizhongxin
187,2013,3,8,18,900,68,9.3,1000.6,-0.9,0,S,1.4,Aotizhongxin
188,2013,3,8,19,1100,68,8,1000.5,-0.3,0,NE,0.8,Aotizhongxin
189,2013,3,8,20,1000,68,7.9,1000.4,-1.6,0,SSW,1.4,Aotizhongxin
190,2013,3,8,21,1100,68,7.2,1000,-1.5,0,ENE,1.6,Aotizhongxin
191,2013,3,8,22,1399,68,6.3,999,-3.4,0,E,0.9,Aotizhongxin
192,2013,3,8,23,1500,68,5.7,997.7,-3.4,0,SSW,1,Aotizhongxin
193,2013,3,9,0,1600,68,3.6,996.1,-2.6,0,W,0.6,Aotizhongxin
194,2013,3,9,1,1899,68,2.1,994.9,-2.6,0,W,1.1,Aotizhongxin
195,2013,3,9,2,2299,68,1.4,994.1,-3.1,0,N,0,Aotizhongxin
196,2013,3,9,3,2299,68,1.1,993,-3.2,0,NE,1.4,Aotizhongxin
197,2013,3,9,4,2399,68,1.8,992,-2.3,0,E,0,Aotizhongxin
198,2013,3,9,5,2500,68,3.2,992,-2.8,0,NE,1.3,Aotizhongxin
199,2013,3,9,6,2600,68,2.8,992.2,-2.5,0,NE,1,Aotizhongxin
200,2013,3,9,7,2100,68,4.6,992.9,-2.1,0,NE,1.8,Aotizhongxin
201,2013,3,9,8,2100,68,8.4,994.1,-1.7,0,E,2.6,Aotizhongxin
202,2013,3,9,9,1899,68,16.3,995.9,-0.4,0,NNW,3.3,Aotizhongxin
203,2013,3,9,10,2200,68,16.7,998.3,-4.6,0,NNW,7.7,Aotizhongxin
204,2013,3,9,11,400,68,14.3,1001.3,-9.1,0,NNW,7.4,Aotizhongxin
205,2013,3,9,12,300,68,12.4,1004.3,-14.4,0,NW,7.9,Aotizhongxin
206,2013,3,9,13,300,76,10.3,1006.5,-17,0,NNW,7.2,Aotizhongxin
207,2013,3,9,14,300,81,10.5,1008.1,-16.8,0,NNW,6.7,Aotizhongxin
208,2013,3,9,15,300,81,10.2,1009.4,-17.1,0,N,3.9,Aotizhongxin
209,2013,3,9,16,300,81,10.5,1010.8,-17.8,0,N,4.8,Aotizhongxin
210,2013,3,9,17,300,81,8.6,1013,-18.3,0,NNE,4.8,Aotizhongxin
211,2013,3,9,18,300,81,7.4,1015.9,-19.3,0,NNE,4.8,Aotizhongxin
212,2013,3,9,19,400,81,6.4,1018.1,-18.4,0,N,3.5,Aotizhongxin
213,2013,3,9,20,400,82,5.6,1019.7,-18.3,0,N,4.5,Aotizhongxin
214,2013,3,9,21,400,82,4.8,1020.3,-17.6,0,N,3.3,Aotizhongxin
215,2013,3,9,22,300,82,3.8,1021.2,-17.8,0,NNE,1.2,Aotizhongxin
216,2013,3,9,23,400,82,0.8,1021.3,-14.1,0,SSE,0.6,Aotizhongxin
217,2013,3,10,0,400,82,-0.5,1020.8,-13.4,0,N,0,Aotizhongxin
218,2013,3,10,1,400,82,-0.2,1021.1,-11.6,0,W,1,Aotizhongxin
219,2013,3,10,2,400,82,-2.1,1020.9,-11.7,0,NNE,0.7,Aotizhongxin
220,2013,3,10,3,500,82,-2,1021.1,-11.8,0,NNW,1.2,Aotizhongxin
221,2013,3,10,4,500,82,-1.3,1021.9,-14.8,0,NNE,0,Aotizhongxin
222,2013,3,10,5,700,82,-1.8,1022,-10.9,0,W,1.7,Aotizhongxin
223,2013,3,10,6,800,82,-2,1022.5,-11.8,0,N,0,Aotizhongxin
224,2013,3,10,7,1500,82,3.5,1023.2,-14.7,0,SSW,2.3,Aotizhongxin
225,2013,3,10,8,1300,82,5.3,1023.5,-15.9,0,SW,4.6,Aotizhongxin
226,2013,3,10,9,900,82,6.8,1023.1,-15.9,0,SSW,5.2,Aotizhongxin
227,2013,3,10,10,700,82,8.3,1022.4,-14.7,0,SSW,4.6,Aotizhongxin
228,2013,3,10,11,800,82,9.8,1021.9,-14.2,0,S,2.7,Aotizhongxin
229,2013,3,10,12,700,82,10.4,1021,-14.4,0,SSW,0.4,Aotizhongxin
230,2013,3,10,13,600,82,11.2,1020,-13.8,0,S,2.8,Aotizhongxin
231,2013,3,10,14,500,82,11.4,1019,-13.6,0,SSW,4,Aotizhongxin
232,2013,3,10,15,500,82,11.3,1018.7,-14.5,0,SW,4.5,Aotizhongxin
233,2013,3,10,16,500,84,10.4,1018.3,-13.7,0,SW,4.1,Aotizhongxin
234,2013,3,10,17,500,84,9.1,1018.2,-13.4,0,SSW,4.4,Aotizhongxin
235,2013,3,10,18,600,84,8.2,1018.5,-12.3,0,SSW,2.6,Aotizhongxin
236,2013,3,10,19,700,84,7.7,1018.8,-11.1,0,SSW,2.3,Aotizhongxin
237,2013,3,10,20,800,84,7.4,1018.8,-10.9,0,S,3.5,Aotizhongxin
238,2013,3,10,21,800,84,6.5,1018.9,-10.3,0,SSW,2.7,Aotizhongxin
239,2013,3,10,22,900,84,5.9,1018.5,-10,0,SW,2.4,Aotizhongxin
240,2013,3,10,23,1000,84,3,1018.7,-9,0,SSW,0.9,Aotizhongxin
241,2013,3,11,0,1100,84,0.3,1018.5,-8.7,0,SW,1.4,Aotizhongxin
242,2013,3,11,1,1100,84,-0.7,1018,-7.3,0,SW,0.7,Aotizhongxin
243,2013,3,11,2,1100,84,-1.7,1017.4,-7,0,WNW,0.5,Aotizhongxin
244,2013,3,11,3,1100,84,-2.1,1017.2,-6.5,0,N,0.6,Aotizhongxin
245,2013,3,11,4,1100,84,-1.6,1016.9,-7.9,0,NNE,1.1,Aotizhongxin
246,2013,3,11,5,1200,84,-2.3,1016.9,-8,0,SE,0.1,Aotizhongxin
247,2013,3,11,6,1600,84,-2.1,1017,-8,0,NE,0.9,Aotizhongxin
248,2013,3,11,7,2100,84,1.3,1017.4,-8.3,0,NNE,1.9,Aotizhongxin
249,2013,3,11,8,2600,84,3.1,1017.5,-8.6,0,NE,1.8,Aotizhongxin
250,2013,3,11,9,2500,84,4.6,1016.8,-8.2,0,NE,1.8,Aotizhongxin
251,2013,3,11,10,2500,84,6.7,1016,-8.1,0,NNE,1.4,Aotizhongxin
252,2013,3,11,11,2299,84,7.6,1015,-8.1,0,N,1.3,Aotizhongxin
253,2013,3,11,12,2200,84,9.7,1013.4,-7.5,0,NNW,1.6,Aotizhongxin
254,2013,3,11,13,2100,84,11.3,1012.3,-7.1,0,S,3.5,Aotizhongxin
255,2013,3,11,14,1100,84,11.4,1010.9,-7.5,0,SSE,2.5,Aotizhongxin
256,2013,3,11,15,1000,84,10.7,1010.3,-6.2,0,SSW,2.1,Aotizhongxin
257,2013,3,11,16,1100,76,10.4,1009.5,-6.5,0,SSW,3.4,Aotizhongxin
258,2013,3,11,17,1700,76,9.7,1009.7,-5.8,0,SSW,2.1,Aotizhongxin
259,2013,3,11,18,2100,71,9.7,1009.8,-5.1,0,S,2,Aotizhongxin
260,2013,3,11,19,1500,51,9.6,1010,-4.4,0,S,1.5,Aotizhongxin
261,2013,3,11,20,1899,47,9.8,1010.4,-2.8,0,SSE,1.3,Aotizhongxin
262,2013,3,11,21,2200,47,9.6,1009.8,-2.7,0,SSW,1.5,Aotizhongxin
263,2013,3,11,22,1600,47,9.3,1009.2,-4,0,SSW,1.5,Aotizhongxin
264,2013,3,11,23,1300,47,8.6,1008,-4.6,0,SSE,1.1,Aotizhongxin
265,2013,3,12,0,1100,47,6.3,1007.5,-2.8,0,WNW,1,Aotizhongxin
266,2013,3,12,1,1600,47,4.8,1006.8,-2.8,0,SSE,0,Aotizhongxin
267,2013,3,12,2,1899,47,5.3,1005.8,-1,0,ESE,0.2,Aotizhongxin
268,2013,3,12,3,1333,47,6.4,1005.8,-1,0.1,N,2.2,Aotizhongxin
269,2013,3,12,4,1399,47,4.3,1006.3,1.5,0.4,E,0.9,Aotizhongxin
270,2013,3,12,5,2100,47,4.7,1006.1,1.5,0.1,NNE,1.3,Aotizhongxin
271,2013,3,12,6,2100,47,4.1,1006.2,2.6,0.9,W,1,Aotizhongxin
272,2013,3,12,7,2100,47,3.5,1006.9,2.2,0.9,NW,1.4,Aotizhongxin
273,2013,3,12,8,1600,47,3.1,1006.9,1.9,0.4,N,1.5,Aotizhongxin
274,2013,3,12,9,1600,47,3.4,1006.6,2.2,0,NNE,1.3,Aotizhongxin
275,2013,3,12,10,1700,47,3.7,1006.8,2.2,0,N,0.9,Aotizhongxin
276,2013,3,12,11,1800,47,4.4,1006.5,2.6,0,NNE,1.4,Aotizhongxin
277,2013,3,12,12,1600,47,4.8,1006.8,2.2,0,N,1.5,Aotizhongxin
278,2013,3,12,13,1500,47,5.3,1006.6,2.8,0.1,NE,1.8,Aotizhongxin
279,2013,3,12,14,1600,47,5.6,1007.1,2.9,0,NNE,1.6,Aotizhongxin
280,2013,3,12,15,1600,39,6.4,1007.6,3.2,0,N,1.5,Aotizhongxin
281,2013,3,12,16,1500,28,6.6,1008.1,3.2,0,S,0.6,Aotizhongxin
282,2013,3,12,17,1600,21,6.4,1009.4,3.4,0,E,1.4,Aotizhongxin
283,2013,3,12,18,1800,20,5.8,1011.1,3.1,0,E,0.4,Aotizhongxin
284,2013,3,12,19,2000,12,3.3,1012.5,2.1,0,WSW,0.5,Aotizhongxin
285,2013,3,12,20,1800,12,2.9,1014.1,2.2,0,N,0.7,Aotizhongxin
286,2013,3,12,21,1700,12,3.6,1015.5,2.6,0,NNE,0.8,Aotizhongxin
287,2013,3,12,22,1100,12,1.9,1016.7,1.3,0,N,1.2,Aotizhongxin
288,2013,3,12,23,800,17,3.8,1017.7,-5.7,0,NNE,0.9,Aotizhongxin
289,2013,3,13,0,400,56,3.4,1018.5,-7.1,0,NNW,0.9,Aotizhongxin
290,2013,3,13,1,300,68,2.7,1018.9,-9,0,NNE,2.1,Aotizhongxin
291,2013,3,13,2,300,68,2.8,1019.3,-8.9,0,N,2.4,Aotizhongxin
292,2013,3,13,3,300,69,2.4,1019.7,-8.6,0,N,1.3,Aotizhongxin
293,2013,3,13,4,400,69,0.3,1020.5,-7.5,0,NW,0.9,Aotizhongxin
294,2013,3,13,5,400,69,-0.9,1021,-8.1,0,NNE,0.9,Aotizhongxin
