No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
37,2013,3,2,12,28,32,32,56,700,32,1.9,1024.2,-17.1,0,1.6
38,2013,3,2,13,30,41,27,42,600,45,2.3,1022.6,-17.3,0,0.2
39,2013,3,2,14,26,29,30,48,700,43,3,1021.9,-17.3,0,0
40,2013,3,2,15,32,36,37,56,800,39,2.9,1020.9,-16.8,0,1.2
41,2013,3,2,16,39,44,42,64,900,33,2.5,1020.6,-17.1,0,0.5
42,2013,3,2,17,43,54,44,70,900,27,2.1,1020.2,-16.4,0,0.7
43,2013,3,2,18,48,60,45,80,1000,19,1.5,1020.4,-16,0,0.7
44,2013,3,2,19,46,64,36,80,1000,11,0.3,1020,-15.3,0,0.6
45,2013,3,2,20,45,66,30,79,1200,6,0,1019.9,-15.2,0,0.2
46,2013,3,2,21,50,68,36,82,1200,4,-1.2,1019.7,-13.7,0,1
47,2013,3,2,22,56,73,26,76,1200,4,-2.1,1019.1,-13.3,0,0.4
48,2013,3,2,23,55,66,25,76,1200,3,-2.2,1018.2,-13.4,0,1.1
49,2013,3,3,0,60,60,26,77,1200,2,-2.4,1017.4,-13,0,1
50,2013,3,3,1,59,63,21,72,1100,2,-3.8,1016.5,-12.2,0,1.4
51,2013,3,3,2,52,53,NA,69,1300,3,-3.8,1015.1,-12.7,0,0.8
52,2013,3,3,3,57,57,20,67,NA,45,-4,1014.1,-13.4,0,0.7
53,2013,3,3,4,53,48,19,NA,1000,2,-4.8,1013.6,-13.2,0,0.2
54,2013,3,3,5,48,55,19,66,1100,3,-5.6,1013.2,-13,0,0.5
55,2013,3,3,6,53,55,19,69,1300,2,-5.7,1013.2,-13.1,0,0
56,2013,3,3,7,53,59,15,67,1000,2,-3.3,1013.5,-12.8,0,0.8
57,2013,3,3,8,50,56,22,62,1200,8,-0.3,1012.8,-11.4,0,0.5
58,2013,3,3,9,60,78,33,60,1500,16,3.4,1012.5,-12.6,0,0.8
59,2013,3,3,10,73,87,41,61,1200,24,6.5,1011.4,-12.2,0,2.1
60,2013,3,3,11,76,101,49,64,1200,27,9,1010.4,-11.6,0,1.4
61,2013,3,3,12,75,102,64,75,1500,27,12.2,1009.1,-13.7,0,1.8
62,2013,3,3,13,92,147,51,58,1100,38,15.6,1007.5,-13.8,0,5.4
63,2013,3,3,14,79,147,23,27,600,65,16.6,1006.9,-14.1,0,5.3
64,2013,3,3,15,44,105,4,3,200,86,17,1006.8,-14.9,0,2.3
65,2013,3,3,16,14,43,3,NA,200,88,16.1,1006.9,-14.4,0,0.7
66,2013,3,3,17,5,29,3,NA,200,87,13.9,1007.6,-14.1,0,0.6
67,2013,3,3,18,3,32,3,NA,200,84,12.4,1009,-14.4,0,0.8
68,2013,3,3,19,11,46,3,2,200,83,8.9,1010,-13.5,0,0.9
69,2013,3,3,20,5,42,3,2,200,82,7.7,1010.1,-12.2,0,0.5
70,2013,3,3,21,12,34,3,2,200,79,6.9,1010.6,-12.3,0,0.7
71,2013,3,3,22,4,31,7,8,500,61,6.8,1011.2,-11.9,0,1.5
72,2013,3,3,23,14,38,4,4,300,68,8.6,1012.1,-11.4,0,2
73,2013,3,4,0,13,34,3,NA,200,76,9.2,1013.2,-12.6,0,2.4
74,2013,3,4,1,10,36,3,NA,200,80,7.3,1014.2,-12.5,0,2.1
75,2013,3,4,2,8,28,3,NA,200,81,6.1,1014.4,-13.5,0,1.4
76,2013,3,4,3,5,19,3,NA,200,84,6.6,1014.2,-14.8,0,4
77,2013,3,4,4,11,4,3,NA,200,86,4.8,1014.6,-12.2,0,2.6
78,2013,3,4,5,5,NA,3,NA,200,87,5.4,1015.4,-12.1,0,4.7
79,2013,3,4,6,8,3,3,4,200,79,4.2,1016.1,-12.3,0,3
80,2013,3,4,7,7,19,8,7,300,71,6.3,1016.8,-12.3,0,0.8
81,2013,3,4,8,4,15,10,8,300,69,8.9,1017.4,-12.9,0,1.6
82,2013,3,4,9,5,16,13,8,300,70,10.2,1017.6,-13.8,0,3.8
83,2013,3,4,10,8,17,13,7,300,74,11.4,1017.1,-14.4,0,4.2
84,2013,3,4,11,7,11,6,4,300,80,12.7,1016.6,-15.1,0,4.4
85,2013,3,4,12,5,6,5,3,200,84,14.6,1015.4,-14.6,0,3.5
86,2013,3,4,13,10,7,6,4,300,86,15.1,1014.2,-15.2,0,3.4
87,2013,3,4,14,13,11,10,6,300,88,16.1,1013.1,-16.9,0,3
88,2013,3,4,15,16,18,9,6,300,91,16.1,1012.5,-16.9,0,2.3
89,2013,3,4,16,18,20,6,6,300,90,14.8,1012,-14.4,0,3.3
90,2013,3,4,17,18,16,5,5,300,92,12.9,1012.4,-14,0,2.6
91,2013,3,4,18,10,10,12,30,600,79,11.3,1012.7,-13.7,0,1.2
92,2013,3,4,19,39,80,19,46,800,63,8.7,1013.2,-12.5,0,0.5
93,2013,3,4,20,41,80,18,44,900,49,5.9,1013.4,-11.7,0,0.2
94,2013,3,4,21,60,74,18,38,800,50,4.9,1013.4,-11.7,0,0.8
95,2013,3,4,22,50,71,22,38,1000,45,4,1013.2,-11.6,0,0.6
96,2013,3,4,23,50,70,19,33,900,92,4.2,1012.6,-11.5,0,0.8
97,2013,3,5,0,52,64,18,30,800,92,2.8,1012.1,-11.2,0,0.4
98,2013,3,5,1,56,58,14,25,800,92,1.8,1011.7,-11,0,0.6
99,2013,3,5,2,50,54,16,26,700,92,0.8,1011.4,-10.7,0,0.6
100,2013,3,5,3,88,54,16,30,800,92,0.2,1011,-10.4,0,0.2
101,2013,3,5,4,53,57,15,30,800,92,-0.1,1010.7,-10.1,0,0.8
102,2013,3,5,5,46,55,13,23,700,92,-0.4,1010.9,-9.6,0,0
103,2013,3,5,6,43,50,15,26,600,92,-1,1010.6,-9.4,0,0.8
104,2013,3,5,7,47,57,17,38,700,92,1.2,1010.4,-9.4,0,0
105,2013,3,5,8,52,64,16,33,700,92,6,1010.1,-10.7,0,0.8
106,2013,3,5,9,52,72,23,30,800,92,7.8,1009.5,-10.6,0,1
107,2013,3,5,10,69,90,30,46,1000,92,9.3,1008.7,-9.3,0,1.4
108,2013,3,5,11,79,95,51,76,1300,92,11,1007.8,-9.4,0,1.9
109,2013,3,5,12,102,138,74,100,1600,30,12.1,1006.5,-9,0,0.4
110,2013,3,5,13,126,164,55,70,1300,92,13.2,1005.1,-8.1,0,0.9
111,2013,3,5,14,131,150,50,61,1200,92,14.1,1004.3,-8.6,0,1.7
112,2013,3,5,15,139,142,59,64,1399,92,13.5,1004.1,-8.4,0,0.8
113,2013,3,5,16,152,173,58,79,1399,92,13.3,1003.9,-8,0,1.1
114,2013,3,5,17,154,181,62,99,1600,82,12.4,1004.5,-8.2,0,1
115,2013,3,5,18,165,194,59,100,1600,82,8.9,1005,-7.8,0,0.8
116,2013,3,5,19,179,200,50,96,1600,82,7.7,1005.4,-7.6,0,0.2
117,2013,3,5,20,172,180,43,94,1899,82,6.3,1005.9,-7.3,0,0.7
118,2013,3,5,21,179,191,38,80,1700,82,5.6,1006,-7.3,0,0.2
119,2013,3,5,22,173,168,39,73,1800,82,4.9,1005.8,-7,0,1.7
120,2013,3,5,23,170,162,42,72,1700,82,3.7,1005.7,-6.9,0,0.4
121,2013,3,6,0,166,153,40,66,1800,82,3.9,1005.4,-6.7,0,2
122,2013,3,6,1,173,154,38,58,1500,82,3.9,1005.3,-6.4,0,0.8
123,2013,3,6,2,161,140,41,61,1600,82,3.5,1004.8,-6.5,0,0.7
124,2013,3,6,3,161,143,47,68,1600,82,3.7,1004.7,-6.3,0,1.3
125,2013,3,6,4,163,150,49,69,1600,82,2.4,1004.7,-6.2,0,1
126,2013,3,6,5,166,155,52,62,1600,82,2.1,1004.9,-5.8,0,0.9
127,2013,3,6,6,172,164,51,55,1600,82,3.1,1005.1,-5.6,0,0.2
128,2013,3,6,7,176,173,66,61,1700,82,4.7,1006.2,-4.9,0,0.6
129,2013,3,6,8,183,178,66,61,1700,82,5.5,1006.2,-4.1,0,0.5
130,2013,3,6,9,195,201,61,66,1899,82,7.2,1006.1,-5.5,0,0.5
131,2013,3,6,10,200,206,68,71,2000,82,8.8,1005.8,-5.5,0,0.7
132,2013,3,6,11,217,218,93,106,2500,82,10.6,1004.6,-5,0,0.9
133,2013,3,6,12,268,278,93,116,2500,82,12.4,1003.4,-4.7,0,0.8
134,2013,3,6,13,258,274,89,100,2100,82,13.4,1002.5,-4.3,0,1.2
135,2013,3,6,14,221,217,98,82,1800,82,13.6,1001.8,-4.1,0,2.3
136,2013,3,6,15,195,222,95,139,3000,75,13.6,1001.9,-3.7,0,2.2
137,2013,3,6,16,294,351,88,139,2700,69,13.3,1002.2,-3.9,0,1.6
138,2013,3,6,17,288,330,84,118,2399,69,12,1002.7,-3.8,0,1.3
139,2013,3,6,18,267,288,90,116,2299,52,10.6,1003.7,-3.9,0,1.2
140,2013,3,6,19,269,274,87,139,2500,52,7.1,1004.5,-3.5,0,1.4
141,2013,3,6,20,280,284,78,141,3299,52,6.2,1004.9,-3.5,0,0.7
142,2013,3,6,21,306,317,83,144,3100,52,5.5,1004.5,-3.6,0,0.6
143,2013,3,6,22,284,285,76,140,2700,52,4.7,1004.3,-3.6,0,0.7
144,2013,3,6,23,236,245,77,134,2500,52,4.5,1004.1,-3.3,0,0.9
145,2013,3,7,0,223,228,83,134,2299,52,5.3,1004.2,-3.3,0,0.7
146,2013,3,7,1,196,197,69,114,1899,52,6.2,1004.2,-3.2,0,1.4
147,2013,3,7,2,150,149,NA,74,1300,52,3,1003.8,-3.8,0,0.5
148,2013,3,7,3,91,85,32,46,NA,52,1.4,1003.6,-4.3,0,1
149,2013,3,7,4,61,61,24,NA,900,52,1.3,1003.5,-5,0,1.8
150,2013,3,7,5,50,40,20,26,500,52,1,1003.7,-5.3,0,1.5
151,2013,3,7,6,26,13,19,26,400,52,0.2,1003.6,-5.4,0,1
152,2013,3,7,7,19,13,18,31,600,52,4.9,1003.6,-4.4,0,0.1
153,2013,3,7,8,33,29,20,28,600,52,7,1003.4,-3.6,0,1.4
154,2013,3,7,9,28,39,22,34,900,52,8.9,1003.2,-3.7,0,1
155,2013,3,7,10,47,74,58,102,2399,52,12.5,1002.1,-5.5,0,1.1
156,2013,3,7,11,134,204,107,157,3500,52,15,1000.3,-4.9,0,0.8
157,2013,3,7,12,224,294,72,98,1899,52,16.3,998.4,-4.3,0,1.5
158,2013,3,7,13,153,160,36,44,900,63,17.3,996.7,-4.1,0,1.4
159,2013,3,7,14,74,52,30,43,900,75,16.6,995.5,-3.5,0,1.2
160,2013,3,7,15,75,83,49,128,1800,75,16.8,994.7,-3.4,0,1
161,2013,3,7,16,149,182,68,182,2500,75,16.6,994.1,-3.5,0,0.8
162,2013,3,7,17,223,260,74,180,2700,75,14.5,993.9,-3.3,0,0.7
163,2013,3,7,18,258,282,64,156,2500,75,12.5,994.5,-3.4,0,0.5
164,2013,3,7,19,244,266,58,172,2700,34,11.8,994.7,-3.2,0,0.8
165,2013,3,7,20,253,285,52,147,2500,75,9.8,994.6,-2.8,0,0.6
166,2013,3,7,21,240,244,45,126,2500,75,7.9,995.1,-3,0,1.2
167,2013,3,7,22,224,226,41,105,2200,75,8.1,995.1,-3.4,0,0.9
168,2013,3,7,23,219,203,38,87,2000,75,6.8,995,-3.2,0,1.3
169,2013,3,8,0,189,189,36,72,1899,75,5.9,995.3,-3,0,0
170,2013,3,8,1,248,190,33,60,1700,75,4.4,995.6,-3.2,0,0.8
171,2013,3,8,2,167,182,26,84,1600,75,4,995.2,-3.5,0,0.6
172,2013,3,8,3,137,164,26,76,1800,75,4.5,994.7,-3.1,0,1.4
173,2013,3,8,4,133,146,18,34,700,75,16.7,994.9,-5.8,0,5.2
174,2013,3,8,5,79,100,8,7,300,75,15.4,995.6,-6.2,0,0.7
175,2013,3,8,6,41,160,8,9,300,75,12.7,996.2,-5.4,0,1.7
176,2013,3,8,7,37,129,9,10,300,75,14.9,996.7,-5.5,0,1.3
177,2013,3,8,8,38,137,15,26,400,75,11.2,997.8,-4.1,0,1.7
178,2013,3,8,9,48,149,18,30,700,75,14.5,997.9,-2.9,0,1.7
179,2013,3,8,10,122,175,31.7016,50.0932,NA,75,17.3,997.3,-3.5,0,1.4
180,2013,3,8,11,166,277,43,85,1700,75,19.3,996.7,-3.6,0,2.1
181,2013,3,8,12,108,172,28,48,900,75,20.6,995.8,-3.9,0,2.5
182,2013,3,8,13,111,212,27,50,1000,82,21.9,994.7,-4.3,0,3
183,2013,3,8,14,146,240,35,91,1399,82,17.6,995,1.5,0,4.5
184,2013,3,8,15,410,631,56,142,3700,107,14.8,996.1,0.2,0,2.5
185,2013,3,8,16,405,582,83,126,4900,107,13.1,996.5,-0.2,0,4
186,2013,3,8,17,190,311,60,74,2100,107,11.7,996.5,-0.5,0,3.4
187,2013,3,8,18,173,244,49,57,1600,107,10.4,997.4,-1,0,2.7
188,2013,3,8,19,118,216,39,46,1300,107,9.4,997.3,-0.8,0,2.7
189,2013,3,8,20,120,188,48,50,1100,107,8.6,997.1,-1.5,0,2.8
190,2013,3,8,21,113,156,45,46,1200,107,7.6,996.9,-2.4,0,1.8
191,2013,3,8,22,104,134,32,42,1200,107,6.8,996,-3.2,0,1.3
192,2013,3,8,23,105,124,25,47,1300,107,5.6,994.5,-3,0,0.7
193,2013,3,9,0,108,123,23,55,1300,107,4.3,993.1,-3,0,1.2
194,2013,3,9,1,111,145,17,48,1300,107,3.9,991.9,-2.5,0,0
195,2013,3,9,2,110,135,18,50,1300,107,3,991.2,-2.7,0,0.7
196,2013,3,9,3,194,120,18,45,1200,107,2.4,989.8,-2.9,0,1.2
197,2013,3,9,4,101,112,20,40,1200,107,1.9,988.9,-3,0,0.7
198,2013,3,9,5,106,108,20,34,1200,107,2,989.2,-3.3,0,0.5
199,2013,3,9,6,54,102,18,28,1200,107,1.8,989,-3.3,0,0.4
200,2013,3,9,7,99,107,21,28,1300,107,6,990.5,-2.1,0,2.4
201,2013,3,9,8,118,202,37,36,1399,107,14.2,992.3,-1.5,0,2.5
202,2013,3,9,9,165,610,63,49,1399,107,16.8,993.8,-2.3,0,6.2
203,2013,3,9,10,72,329,17,13,500,107,14.4,996.8,-7.1,0,7.8
204,2013,3,9,11,22,408,3,NA,200,107,12.9,999.1,-11.6,0,5.6
205,2013,3,9,12,29,557,3,NA,200,107,10.7,1001.8,-15.8,0,4.9
206,2013,3,9,13,32,717,3,NA,200,107,9.6,1003.9,-18.5,0,6
207,2013,3,9,14,24,539,3,NA,200,107,10.3,1005.2,-17.9,0,4.5
208,2013,3,9,15,16,354,3,NA,200,93,10.3,1006.3,-17.9,0,5.6
209,2013,3,9,16,15,230,3,NA,200,89,9.2,1008,-18.8,0,7.1
210,2013,3,9,17,8,147,3,NA,200,90,7.7,1010.2,-20,0,5.1
211,2013,3,9,18,3,93,3,NA,200,91,6.6,1013.1,-19.9,0,5.2
212,2013,3,9,19,10,82,3,NA,200,91,5.7,1015.1,-19.8,0,3.3
213,2013,3,9,20,10,70,3,NA,200,91,5,1017,-19.6,0,2.5
214,2013,3,9,21,13,41,3,NA,200,91,4.8,1017.7,-19.7,0,3.3
215,2013,3,9,22,13,23,3,NA,200,91,3.8,1018.1,-19.8,0,1.2
216,2013,3,9,23,3,14,3,2,200,91,3.4,1018,-20.1,0,1.1
217,2013,3,10,0,7,13,3,3,200,91,4.4,1017.8,-20.1,0,2
218,2013,3,10,1,12,14,4,8,200,91,4.9,1018.1,-20.4,0,3
219,2013,3,10,2,13,7,7,9,200,91,4.5,1017.9,-20,0,3.3
220,2013,3,10,3,10,5,7,8,200,91,4.1,1018.1,-20.3,0,2.5
221,2013,3,10,4,13,4,8,8,300,91,4.7,1018.6,-19.8,0,3
222,2013,3,10,5,8,8,10,8,300,91,4.3,1018.8,-20.1,0,3.3
223,2013,3,10,6,10,7,12,10,300,91,3.6,1018.9,-18.6,0,1.2
224,2013,3,10,7,8,8,12,10,300,91,5.7,1019.8,-19,0,3.3
225,2013,3,10,8,11,18,10,11,300,91,8,1019.8,-18.8,0,2.8
226,2013,3,10,9,18,19,13,13,400,91,9.4,1019.2,-18.7,0,3.2
227,2013,3,10,10,7,NA,10,7,300,91,10.6,1018.4,-16.8,0,2.5
228,2013,3,10,11,12,NA,9,6,300,91,10.4,1018.1,-16.9,0,2
229,2013,3,10,12,16,24,10,13,300,91,11.3,1017.1,-17.2,0,3.6
230,2013,3,10,13,16,23,10,15,400,91,12.1,1016,-16.5,0,2.8
231,2013,3,10,14,21,39,12,17,400,91,11.9,1015.1,-15.7,0,3.7
232,2013,3,10,15,30,37,12,17,400,91,11.7,1014.7,-15.9,0,4.2
233,2013,3,10,16,33,62,12,21,400,100,10.9,1014.5,-14.8,0,1.2
234,2013,3,10,17,37,77,13,22,400,100,9.5,1014.6,-15.1,0,3.2
235,2013,3,10,18,42,91,14,26,400,100,8.8,1015.1,-13.6,0,1.6
236,2013,3,10,19,53,91,16,32,600,100,7.2,1015.5,-13.1,0,1.3
237,2013,3,10,20,61,91,15,27,600,100,5.8,1015.7,-12.8,0,0.8
238,2013,3,10,21,56,78,14,25,600,100,4.7,1015.7,-12.3,0,1
239,2013,3,10,22,62,88,18,27,600,100,4.2,1015.5,-12.3,0,0
240,2013,3,10,23,63,89,19,29,700,100,2.3,1015.4,-12.4,0,0.8
241,2013,3,11,0,68,89,22,36,800,100,1.6,1015.2,-11.6,0,0
242,2013,3,11,1,68,89,23,36,900,100,0.5,1015,-11.6,0,0.5
243,2013,3,11,2,69,88,24,32,800,100,0.1,1014.3,-11.3,0,0.9
244,2013,3,11,3,75,83,18,34,NA,100,-1.4,1014.1,-10.8,0,0.9
245,2013,3,11,4,79,100,23,34,900,100,-2,1014,-10.8,0,1
246,2013,3,11,5,83,97,16,39,1000,100,-1.8,1013.5,-10.9,0,0.6
247,2013,3,11,6,85,94,16,42,900,100,-1.7,1014,-10.3,0,0.6
248,2013,3,11,7,80,100,18,48,900,100,-0.2,1014.3,-9.6,0,1.4
249,2013,3,11,8,89,116,25,50,1000,100,2.7,1014.2,-10.6,0,1
250,2013,3,11,9,107,141,31,54,1100,100,4.9,1013.7,-9.7,0,0.9
251,2013,3,11,10,108,145,43,66,1100,100,6.3,1012.9,-8.4,0,2.2
252,2013,3,11,11,112,152,57,68,1200,100,6.8,1011.7,-8.8,0,1.8
253,2013,3,11,12,113,153,58,68,NA,100,8.3,1010.4,-9.2,0,0.9
254,2013,3,11,13,132,158,71,66,1300,100,9,1009.2,-8.1,0,1.2
255,2013,3,11,14,130,173,79,83,1399,100,9.8,1007.8,-7.9,0,1.4
256,2013,3,11,15,148,185,89,103,1600,100,10,1007,-7.7,0,1.5
257,2013,3,11,16,149,184,92,108,1500,100,10,1006.2,-7.7,0,1.8
258,2013,3,11,17,152,179,106,108,1399,90,9.8,1006.1,-7,0,1.9
259,2013,3,11,18,149,202,118,98,1500,76,9.7,1006.7,-6.2,0,1.8
260,2013,3,11,19,152,205,122,103,1700,73,9.5,1006.9,-6.4,0,1.1
261,2013,3,11,20,166,222,131,102,1899,68,9.4,1007.2,-6.1,0,1.8
262,2013,3,11,21,175,222,122,93,1899,65,9.4,1006.7,-3.9,0,1.2
263,2013,3,11,22,173,217,98,83,1899,56,9.2,1006.1,-3.4,0,1.7
264,2013,3,11,23,163,210,85,80,1700,48,8.8,1005,-4.1,0,2.1
265,2013,3,12,0,156,187,78,76,1500,46,8.3,1004.4,-4.5,0,1.9
266,2013,3,12,1,150,195,74,83,1500,46,7.7,1003.7,-4.4,0,1.1
267,2013,3,12,2,150,185,60,80,1399,46,7.7,1003.7,-4.4,0,0.6
268,2013,3,12,3,134,176,54,74,1300,46,6.3,1003.2,-1.8,0,0.7
269,2013,3,12,4,127,168,48,68,1300,46,6.2,1003.1,-1.7,0,0.7
270,2013,3,12,5,135,171,39,75,1399,46,5.3,1003.2,-0.3,0.2,1.5
271,2013,3,12,6,128,186,27,80,1500,46,3.4,1003.6,0.8,1.5,0.6
272,2013,3,12,7,123,138,26,88,1700,46,3.1,1004,1.3,0.3,1.2
273,2013,3,12,8,121,138,10,76,1500,46,2.7,1003.8,1.1,0.1,1
274,2013,3,12,9,116,85,8,66,1399,46,3.1,1003.3,1.6,0,0.9
275,2013,3,12,10,114,81,10,59,1300,46,3.6,1003.6,2,0,0
276,2013,3,12,11,132,106,14,73,1700,46,3.8,1003.7,1.8,0,1.5
277,2013,3,12,12,145,129,20,77,1800,46,4.4,1003.9,2.3,0,1.3
278,2013,3,12,13,158,144,17,81,1800,43,5,1003.9,2.2,0,1.5
279,2013,3,12,14,172,143,22,80,1800,33,5.3,1004.3,2.8,0,1.6
280,2013,3,12,15,176,148,19,78,1800,33,6.3,1004.2,3.3,0,2.1
281,2013,3,12,16,171,144,21,71,1899,32,6.7,1005,3.1,0,1.1
282,2013,3,12,17,213,181,24,98,2299,32,6.6,1006.2,3.2,0,0
283,2013,3,12,18,221,184,30,102,2299,21,5.5,1007.9,3.2,0,1.1
284,2013,3,12,19,211,184,19,94,2399,16,4,1009.6,2.3,0,1.8
285,2013,3,12,20,186,135,18,83,2299,16,4.6,1011.4,-0.4,0,1.1
286,2013,3,12,21,59,59,12,28,800,50,5.6,1012.9,-8.7,0,1.5
287,2013,3,12,22,6,6,3,2,200,78,5,1014.1,-10,0,2.3
288,2013,3,12,23,10,10,3,2,200,81,4.3,1015.1,-10.6,0,1.9
289,2013,3,13,0,3,3,3,2,200,81,3,1016,-11,0,1
290,2013,3,13,1,7,7,3,2,200,83,2.6,1016.4,-11.7,0,3
291,2013,3,13,2,9,9,3,3,200,83,2.5,1016.4,-11.8,0,3.6
292,2013,3,13,3,3,3,4,6,200,83,1.6,1016.8,-10,0,2
293,2013,3,13,4,3,3,3,6,300,83,2,1017.5,-10.9,0,2.1
294,2013,3,13,5,12,6,6,11,200,83,0,1018.3,-10.8,0,1.5
295,2013,3,13,6,9,3,6,13,300,83,0.6,1019.3,-11.5,0,1.2
296,2013,3,13,7,3,3,4,8,200,83,3.3,1020.7,-14.9,0,1.6
297,2013,3,13,8,3,3,3,2,200,83,4.5,1021.8,-18.5,0,3.6
298,2013,3,13,9,10,10,3,NA,200,83,5.5,1022,-18.4,0,1.7
299,2013,3,13,10,10,10,3,NA,200,86,6.3,1022,-15.1,0,3.1
300,2013,3,13,11,3,6,3,NA,200,86,7.4,1021.3,-15.4,0,2.1
301,2013,3,13,12,3,6,3,2,NA,86,8.2,1020.2,-16.2,0,1.2
302,2013,3,13,13,3,58,8,8,200,86,9.2,1019.4,-16.2,0,4.3
303,2013,3,13,14,13,28,8,6,200,86,9.6,1018.5,-16.7,0,3.7
304,2013,3,13,15,8,17,7,6,200,87,10,1018.2,-14,0,2.9
305,2013,3,13,16,12,14,7,6,200,89,8.2,1018.4,-13.5,0,3.4
306,2013,3,13,17,15,18,6,8,200,89,7.1,1018.9,-13.2,0,2
307,2013,3,13,18,18,29,6,14,300,89,6.1,1019.6,-13.5,0,2.3
308,2013,3,13,19,22,31,6,20,300,89,5.3,1020.3,-13.2,0,1.7
309,2013,3,13,20,27,28,6,22,400,89,4.4,1020.8,-12.6,0,0.7
310,2013,3,13,21,7,23,5,18,300,89,3.5,1021,-11.3,0,0.8
311,2013,3,13,22,25,26,8,24,500,89,1.5,1020.8,-10,0,0.8
312,2013,3,13,23,35,26,7,29,600,89,1.4,1020.9,-9.3,0,0.8
313,2013,3,14,0,41,42,7,37,800,89,2.5,1021.1,-8.8,0,3
314,2013,3,14,1,44,41,8,38,700,89,1.4,1021.4,-4.7,0,2.9
315,2013,3,14,2,44,45,8,39,700,89,0.6,1021.2,-4.8,0,2.8
316,2013,3,14,3,47,54,13,50,800,89,0,1021,-5,0,1.2
317,2013,3,14,4,67,78,16,66,1200,89,-0.4,1021,-5.6,0,1.7
318,2013,3,14,5,74,81,19,66,1399,89,-0.8,1021.3,-5.6,0,1.3
319,2013,3,14,6,73,82,21,65,1399,89,-1.6,1021.4,-5.3,0,1.4
320,2013,3,14,7,72,85,23,70,1500,89,-0.5,1021.7,-5.1,0,0.9
321,2013,3,14,8,83,98,39,70,1600,89,1.1,1021.8,-5,0,0.6
322,2013,3,14,9,95,112,54,67,1600,89,2.1,1021.2,-5.1,0,1
323,2013,3,14,10,104,112,44,49,1399,89,3.5,1020.2,-4.9,0,1.8
324,2013,3,14,11,132,126,37,46,1399,89,4.8,1019,-4.8,0,2.2
325,2013,3,14,12,140,133,45,59,1500,89,5.9,1018.2,-4.6,0,1.5
